ENSMUSG00000000001	ENSMUST00000000001
ENSMUSG00000000028	ENSMUST00000115585
ENSMUSG00000000049	ENSMUST00000000049
ENSMUSG00000000056	ENSMUST00000103015
ENSMUSG00000000058	ENSMUST00000000058
ENSMUSG00000000058	ENSMUST00000115459
ENSMUSG00000000078	ENSMUST00000000080
ENSMUSG00000000085	ENSMUST00000000087
ENSMUSG00000000085	ENSMUST00000144555
ENSMUSG00000000088	ENSMUST00000213678
ENSMUSG00000000088	ENSMUST00000214154
ENSMUSG00000000093	ENSMUST00000000095
ENSMUSG00000000120	ENSMUST00000000122
ENSMUSG00000000126	ENSMUST00000000128
ENSMUSG00000000127	ENSMUST00000000129
ENSMUSG00000000131	ENSMUST00000168189
ENSMUSG00000000131	ENSMUST00000170675
ENSMUSG00000000134	ENSMUST00000077680
ENSMUSG00000000134	ENSMUST00000137467
ENSMUSG00000000134	ENSMUST00000143680
ENSMUSG00000000142	ENSMUST00000052915
ENSMUSG00000000142	ENSMUST00000140821
ENSMUSG00000000148	ENSMUST00000110806
ENSMUSG00000000148	ENSMUST00000124892
ENSMUSG00000000149	ENSMUST00000000153
ENSMUSG00000000154	ENSMUST00000105917
ENSMUSG00000000157	ENSMUST00000113773
ENSMUSG00000000159	ENSMUST00000000163
ENSMUSG00000000159	ENSMUST00000113794
ENSMUSG00000000168	ENSMUST00000034567
ENSMUSG00000000171	ENSMUST00000000175
ENSMUSG00000000184	ENSMUST00000000188
ENSMUSG00000000184	ENSMUST00000202363
ENSMUSG00000000194	ENSMUST00000056433
ENSMUSG00000000194	ENSMUST00000133207
ENSMUSG00000000194	ENSMUST00000151991
ENSMUSG00000000247	ENSMUST00000000253
ENSMUSG00000000253	ENSMUST00000000260
ENSMUSG00000000266	ENSMUST00000112990
ENSMUSG00000000275	ENSMUST00000107896
ENSMUSG00000000276	ENSMUST00000107894
ENSMUSG00000000278	ENSMUST00000000287
ENSMUSG00000000282	ENSMUST00000000291
ENSMUSG00000000290	ENSMUST00000000299
ENSMUSG00000000295	ENSMUST00000000304
ENSMUSG00000000296	ENSMUST00000000305
ENSMUSG00000000301	ENSMUST00000102692
ENSMUSG00000000303	ENSMUST00000000312
ENSMUSG00000000317	ENSMUST00000000326
ENSMUSG00000000325	ENSMUST00000115610
ENSMUSG00000000325	ENSMUST00000115613
ENSMUSG00000000326	ENSMUST00000165430
ENSMUSG00000000340	ENSMUST00000000349
ENSMUSG00000000346	ENSMUST00000000356
ENSMUSG00000000355	ENSMUST00000000365
ENSMUSG00000000355	ENSMUST00000134573
ENSMUSG00000000355	ENSMUST00000140204
ENSMUSG00000000374	ENSMUST00000000384
ENSMUSG00000000378	ENSMUST00000000388
ENSMUSG00000000378	ENSMUST00000161667
ENSMUSG00000000384	ENSMUST00000000394
ENSMUSG00000000384	ENSMUST00000132446
ENSMUSG00000000384	ENSMUST00000156969
ENSMUSG00000000385	ENSMUST00000000395
ENSMUSG00000000386	ENSMUST00000023655
ENSMUSG00000000399	ENSMUST00000205002
ENSMUSG00000000420	ENSMUST00000164998
ENSMUSG00000000420	ENSMUST00000170243
ENSMUSG00000000439	ENSMUST00000000449
ENSMUSG00000000439	ENSMUST00000205248
ENSMUSG00000000440	ENSMUST00000171644
ENSMUSG00000000441	ENSMUST00000127503
ENSMUSG00000000441	ENSMUST00000203826
ENSMUSG00000000486	ENSMUST00000205570
ENSMUSG00000000489	ENSMUST00000000500
ENSMUSG00000000530	ENSMUST00000000542
ENSMUSG00000000531	ENSMUST00000000543
ENSMUSG00000000532	ENSMUST00000000544
ENSMUSG00000000538	ENSMUST00000064019
ENSMUSG00000000538	ENSMUST00000102683
ENSMUSG00000000552	ENSMUST00000168828
ENSMUSG00000000555	ENSMUST00000215331
ENSMUSG00000000561	ENSMUST00000010278
ENSMUSG00000000563	ENSMUST00000118209
ENSMUSG00000000563	ENSMUST00000153666
ENSMUSG00000000567	ENSMUST00000000579
ENSMUSG00000000568	ENSMUST00000172361
ENSMUSG00000000581	ENSMUST00000130330
ENSMUSG00000000581	ENSMUST00000131227
ENSMUSG00000000594	ENSMUST00000000608
ENSMUSG00000000600	ENSMUST00000171023
ENSMUSG00000000600	ENSMUST00000197611
ENSMUSG00000000600	ENSMUST00000197742
ENSMUSG00000000600	ENSMUST00000199234
ENSMUSG00000000600	ENSMUST00000199475
ENSMUSG00000000600	ENSMUST00000199845
ENSMUSG00000000600	ENSMUST00000200004
ENSMUSG00000000605	ENSMUST00000000619
ENSMUSG00000000628	ENSMUST00000000642
ENSMUSG00000000631	ENSMUST00000100795
ENSMUSG00000000631	ENSMUST00000108375
ENSMUSG00000000673	ENSMUST00000000687
ENSMUSG00000000682	ENSMUST00000000696
ENSMUSG00000000686	ENSMUST00000094004
ENSMUSG00000000693	ENSMUST00000000707
ENSMUSG00000000693	ENSMUST00000155502
ENSMUSG00000000708	ENSMUST00000000724
ENSMUSG00000000711	ENSMUST00000000727
ENSMUSG00000000738	ENSMUST00000149248
ENSMUSG00000000739	ENSMUST00000000755
ENSMUSG00000000739	ENSMUST00000146007
ENSMUSG00000000740	ENSMUST00000000756
ENSMUSG00000000743	ENSMUST00000000759
ENSMUSG00000000751	ENSMUST00000092907
ENSMUSG00000000753	ENSMUST00000000769
ENSMUSG00000000759	ENSMUST00000000776
ENSMUSG00000000776	ENSMUST00000180358
ENSMUSG00000000782	ENSMUST00000086844
ENSMUSG00000000787	ENSMUST00000000804
ENSMUSG00000000787	ENSMUST00000123096
ENSMUSG00000000787	ENSMUST00000149639
ENSMUSG00000000787	ENSMUST00000153611
ENSMUSG00000000791	ENSMUST00000000808
ENSMUSG00000000804	ENSMUST00000108075
ENSMUSG00000000811	ENSMUST00000000828
ENSMUSG00000000823	ENSMUST00000108789
ENSMUSG00000000826	ENSMUST00000072334
ENSMUSG00000000827	ENSMUST00000129390
ENSMUSG00000000827	ENSMUST00000130261
ENSMUSG00000000827	ENSMUST00000149163
ENSMUSG00000000838	ENSMUST00000088546
ENSMUSG00000000838	ENSMUST00000127954
ENSMUSG00000000838	ENSMUST00000127993
ENSMUSG00000000876	ENSMUST00000000896
ENSMUSG00000000876	ENSMUST00000109703
ENSMUSG00000000881	ENSMUST00000147863
ENSMUSG00000000902	ENSMUST00000000925
ENSMUSG00000000902	ENSMUST00000133189
ENSMUSG00000000915	ENSMUST00000000939
ENSMUSG00000000916	ENSMUST00000000940
ENSMUSG00000000916	ENSMUST00000131863
