Gene stable ID	Transcript stable ID	Cleavage site (Signalp)	Cleavage site (Signalp) start	Cleavage site (Signalp) end
ENSMUSG00000064368	ENSMUST00000082419	SignalP-TM	1	18
ENSMUSG00000064363	ENSMUST00000082414	SignalP-TM	1	25
ENSMUSG00000004341	ENSMUST00000004453	SignalP-noTM	1	19
ENSMUSG00000073530	ENSMUST00000159861	SignalP-noTM	1	18
ENSMUSG00000000617	ENSMUST00000000631	SignalP-noTM	1	23
ENSMUSG00000000617	ENSMUST00000171427	SignalP-noTM	1	23
ENSMUSG00000073888	ENSMUST00000108033	SignalP-noTM	1	24
ENSMUSG00000073888	ENSMUST00000074387	SignalP-noTM	1	25
ENSMUSG00000048368	ENSMUST00000221170	SignalP-noTM	1	20
ENSMUSG00000048368	ENSMUST00000065494	SignalP-noTM	1	20
ENSMUSG00000021390	ENSMUST00000021822	SignalP-noTM	1	19
ENSMUSG00000074882	ENSMUST00000099472	SignalP-noTM	1	25
ENSMUSG00000022877	ENSMUST00000023590	SignalP-noTM	1	29
ENSMUSG00000048992	ENSMUST00000061725	SignalP-noTM	1	19
ENSMUSG00000043631	ENSMUST00000051504	SignalP-noTM	1	19
ENSMUSG00000024114	ENSMUST00000024926	SignalP-noTM	1	23
ENSMUSG00000024114	ENSMUST00000151797	SignalP-noTM	1	23
ENSMUSG00000028455	ENSMUST00000138030	SignalP-noTM	1	26
ENSMUSG00000091926	ENSMUST00000169130	SignalP-noTM	1	18
ENSMUSG00000014599	ENSMUST00000118593	SignalP-noTM	1	32
ENSMUSG00000014599	ENSMUST00000014743	SignalP-noTM	1	32
ENSMUSG00000014599	ENSMUST00000120243	SignalP-noTM	1	32
ENSMUSG00000023964	ENSMUST00000171613	SignalP-noTM	1	41
ENSMUSG00000023964	ENSMUST00000115622	SignalP-noTM	1	41
ENSMUSG00000023964	ENSMUST00000075644	SignalP-noTM	1	41
ENSMUSG00000023964	ENSMUST00000168592	SignalP-noTM	1	41
ENSMUSG00000023964	ENSMUST00000170266	SignalP-noTM	1	41
ENSMUSG00000025004	ENSMUST00000162507	SignalP-noTM	1	25
ENSMUSG00000062826	ENSMUST00000076384	SignalP-noTM	1	32
ENSMUSG00000062826	ENSMUST00000212926	SignalP-noTM	1	32
ENSMUSG00000006403	ENSMUST00000111315	SignalP-noTM	1	49
ENSMUSG00000050587	ENSMUST00000135431	SignalP-noTM	1	44
ENSMUSG00000050587	ENSMUST00000162807	SignalP-noTM	1	44
ENSMUSG00000050587	ENSMUST00000059049	SignalP-noTM	1	44
ENSMUSG00000032725	ENSMUST00000094141	SignalP-noTM	1	20
ENSMUSG00000032725	ENSMUST00000210598	SignalP-noTM	1	20
ENSMUSG00000032725	ENSMUST00000209329	SignalP-noTM	1	20
ENSMUSG00000032725	ENSMUST00000211566	SignalP-noTM	1	20
ENSMUSG00000022136	ENSMUST00000022734	SignalP-noTM	1	31
ENSMUSG00000024391	ENSMUST00000025249	SignalP-noTM	1	21
ENSMUSG00000090342	ENSMUST00000171523	SignalP-noTM	1	18
ENSMUSG00000029163	ENSMUST00000031055	SignalP-noTM	1	23
ENSMUSG00000042817	ENSMUST00000049324	SignalP-noTM	1	28
ENSMUSG00000036790	ENSMUST00000036043	SignalP-noTM	1	21
