Gene stable ID	Transcript stable ID	Protein stable ID	Transcript type	Source (transcript)	Gene name
ENSMUSG00000064370	ENSMUST00000082421	ENSMUSP00000081003	protein_coding	insdc	mt-Cytb
ENSMUSG00000064368	ENSMUST00000082419	ENSMUSP00000081002	protein_coding	insdc	mt-Nd6
ENSMUSG00000064367	ENSMUST00000082418	ENSMUSP00000081001	protein_coding	insdc	mt-Nd5
ENSMUSG00000064363	ENSMUST00000082414	ENSMUSP00000081000	protein_coding	insdc	mt-Nd4
ENSMUSG00000065947	ENSMUST00000084013	ENSMUSP00000081021	protein_coding	insdc	mt-Nd4l
ENSMUSG00000064360	ENSMUST00000082411	ENSMUSP00000080998	protein_coding	insdc	mt-Nd3
ENSMUSG00000064358	ENSMUST00000082409	ENSMUSP00000080997	protein_coding	insdc	mt-Co3
ENSMUSG00000064357	ENSMUST00000082408	ENSMUSP00000080996	protein_coding	insdc	mt-Atp6
ENSMUSG00000064356	ENSMUST00000082407	ENSMUSP00000080995	protein_coding	insdc	mt-Atp8
ENSMUSG00000064354	ENSMUST00000082405	ENSMUSP00000080994	protein_coding	insdc	mt-Co2
ENSMUSG00000064351	ENSMUST00000082402	ENSMUSP00000080993	protein_coding	insdc	mt-Co1
ENSMUSG00000064345	ENSMUST00000082396	ENSMUSP00000080992	protein_coding	insdc	mt-Nd2
ENSMUSG00000064341	ENSMUST00000082392	ENSMUSP00000080991	protein_coding	insdc	mt-Nd1
ENSMUSG00000023072	ENSMUST00000141704	ENSMUSP00000121393	nonsense_mediated_decay	havana	Cep89
ENSMUSG00000023072	ENSMUST00000140418		retained_intron	havana	Cep89
ENSMUSG00000004341	ENSMUST00000004453	ENSMUSP00000004453	protein_coding	ensembl_havana	Gpx6
ENSMUSG00000047710	ENSMUST00000051870	ENSMUSP00000057270	protein_coding	ensembl_havana	Champ1
ENSMUSG00000073888	ENSMUST00000151909		retained_intron	havana	Ccl27a
ENSMUSG00000073888	ENSMUST00000108035	ENSMUSP00000103670	protein_coding	havana	Ccl27a
ENSMUSG00000000804	ENSMUST00000108075	ENSMUSP00000103710	protein_coding	ensembl_havana	Usp32
ENSMUSG00000078945	ENSMUST00000117913	ENSMUSP00000113890	protein_coding	havana	Naip2
ENSMUSG00000021967	ENSMUST00000224313		retained_intron	havana	Mrpl57
ENSMUSG00000070319	ENSMUST00000213882		retained_intron	havana	Eif3g
ENSMUSG00000070319	ENSMUST00000216133		retained_intron	havana	Eif3g
ENSMUSG00000113255	ENSMUST00000222404	ENSMUSP00000152773	protein_coding	havana	AC123954.1
ENSMUSG00000048368	ENSMUST00000221170	ENSMUSP00000152066	protein_coding	havana	Omd
ENSMUSG00000021390	ENSMUST00000021822	ENSMUSP00000021822	protein_coding	ensembl_havana	Ogn
ENSMUSG00000016510	ENSMUST00000066675	ENSMUSP00000063398	protein_coding	ensembl_havana	Mtif3
ENSMUSG00000011148	ENSMUST00000021726	ENSMUSP00000021726	protein_coding	ensembl_havana	Adssl1
ENSMUSG00000011148	ENSMUST00000180015	ENSMUSP00000136572	protein_coding	ensembl_havana	Adssl1
ENSMUSG00000031913	ENSMUST00000034388	ENSMUSP00000034388	protein_coding	ensembl_havana	Vps4a
ENSMUSG00000031913	ENSMUST00000132096		retained_intron	havana	Vps4a
ENSMUSG00000074882	ENSMUST00000099472	ENSMUSP00000097071	protein_coding	ensembl_havana	Cyp2c68
ENSMUSG00000043432	ENSMUST00000058358	ENSMUSP00000061079	protein_coding	ensembl_havana	Leng9
ENSMUSG00000036112	ENSMUST00000047910	ENSMUSP00000048285	protein_coding	havana	Metap2
ENSMUSG00000036112	ENSMUST00000181009		retained_intron	havana	Metap2
ENSMUSG00000022877	ENSMUST00000023590	ENSMUSP00000023590	protein_coding	ensembl_havana	Hrg
ENSMUSG00000042225	ENSMUST00000041317	ENSMUSP00000036085	protein_coding	ensembl_havana	Ammecr1
ENSMUSG00000043631	ENSMUST00000051504	ENSMUSP00000060402	protein_coding	ensembl_havana	Ecm2
ENSMUSG00000034645	ENSMUST00000223127	ENSMUSP00000152477	protein_coding	havana	Zyg11a
ENSMUSG00000034645	ENSMUST00000106690	ENSMUSP00000102301	protein_coding	havana	Zyg11a
ENSMUSG00000021969	ENSMUST00000089473	ENSMUSP00000086900	protein_coding	ensembl_havana	Zdhhc20
ENSMUSG00000044308	ENSMUST00000112251	ENSMUSP00000107870	protein_coding	ensembl	Ubr3
ENSMUSG00000066839	ENSMUST00000180180	ENSMUSP00000136247	protein_coding	havana	Ecsit
ENSMUSG00000066839	ENSMUST00000217445		retained_intron	havana	Ecsit
ENSMUSG00000037542	ENSMUST00000042699	ENSMUSP00000038878	protein_coding	ensembl_havana	Aldh8a1
ENSMUSG00000078931	ENSMUST00000154271	ENSMUSP00000138756	nonsense_mediated_decay	havana	Pdf
ENSMUSG00000016520	ENSMUST00000016664	ENSMUSP00000016664	protein_coding	ensembl_havana	Lnx2
ENSMUSG00000028455	ENSMUST00000030169	ENSMUSP00000030169	protein_coding	ensembl_havana	Stoml2
ENSMUSG00000028412	ENSMUST00000102911	ENSMUSP00000099975	protein_coding	ensembl_havana	Slc44a1
ENSMUSG00000028412	ENSMUST00000107651	ENSMUSP00000103278	protein_coding	havana	Slc44a1
ENSMUSG00000032217	ENSMUST00000213647	ENSMUSP00000149501	protein_coding	havana	Rnf111
ENSMUSG00000031916	ENSMUST00000095517	ENSMUSP00000093173	protein_coding	ensembl_havana	Cog8
ENSMUSG00000063480	ENSMUST00000080622	ENSMUSP00000091840	protein_coding	ensembl_havana	Snu13
ENSMUSG00000021385	ENSMUST00000220447	ENSMUSP00000152331	protein_coding	ensembl_havana	Ippk
ENSMUSG00000026798	ENSMUST00000143616	ENSMUSP00000120160	nonsense_mediated_decay	havana	Coq4
ENSMUSG00000027331	ENSMUST00000134661	ENSMUSP00000115860	protein_coding	ensembl_havana	Knstrn
ENSMUSG00000033192	ENSMUST00000046290	ENSMUSP00000049252	protein_coding	ensembl_havana	Lpcat2
ENSMUSG00000028378	ENSMUST00000030069	ENSMUSP00000030069	protein_coding	ensembl_havana	Ptgr1
ENSMUSG00000033955	ENSMUST00000126309		processed_transcript	havana	Tnks1bp1
ENSMUSG00000034235	ENSMUST00000022356	ENSMUSP00000022356	protein_coding	havana	Usp54
ENSMUSG00000021591	ENSMUST00000022082	ENSMUSP00000022082	protein_coding	ensembl_havana	Glrx
ENSMUSG00000021591	ENSMUST00000222530		retained_intron	havana	Glrx
ENSMUSG00000061458	ENSMUST00000046011	ENSMUSP00000035930	protein_coding	ensembl_havana	Nol10
ENSMUSG00000054000	ENSMUST00000066774	ENSMUSP00000069652	protein_coding	ensembl_havana	Tusc1
ENSMUSG00000042050	ENSMUST00000221748		retained_intron	havana	Wdr60
ENSMUSG00000042050	ENSMUST00000039349	ENSMUSP00000047334	protein_coding	ensembl_havana	Wdr60
ENSMUSG00000042050	ENSMUST00000222539		retained_intron	havana	Wdr60
ENSMUSG00000038895	ENSMUST00000216916		retained_intron	havana	Zfp653
ENSMUSG00000029642	ENSMUST00000050970	ENSMUSP00000058355	protein_coding	ensembl_havana	Polr1d
ENSMUSG00000029642	ENSMUST00000202444	ENSMUSP00000144455	nonsense_mediated_decay	havana	Polr1d
ENSMUSG00000043411	ENSMUST00000105840	ENSMUSP00000101466	protein_coding	havana	Usp48
ENSMUSG00000043411	ENSMUST00000131755	ENSMUSP00000114800	protein_coding	havana	Usp48
ENSMUSG00000057406	ENSMUST00000114399	ENSMUSP00000110041	protein_coding	havana	Nsd2
ENSMUSG00000057406	ENSMUST00000139845	ENSMUSP00000123460	nonsense_mediated_decay	havana	Nsd2
ENSMUSG00000057406	ENSMUST00000202912		retained_intron	havana	Nsd2
ENSMUSG00000014599	ENSMUST00000014743	ENSMUSP00000014743	protein_coding	ensembl_havana	Csf1
ENSMUSG00000042439	ENSMUST00000182852	ENSMUSP00000138663	protein_coding	havana	Zfp532
ENSMUSG00000042439	ENSMUST00000183157		retained_intron	havana	Zfp532
ENSMUSG00000050587	ENSMUST00000059049	ENSMUSP00000131795	protein_coding	ensembl_havana	Lrrc4c
ENSMUSG00000022136	ENSMUST00000022734	ENSMUSP00000022734	protein_coding	ensembl_havana	Dnajc3
ENSMUSG00000047759	ENSMUST00000058652	ENSMUSP00000055930	protein_coding	ensembl_havana	Hs3st3a1
ENSMUSG00000024391	ENSMUST00000025249	ENSMUSP00000025249	protein_coding	ensembl_havana	Apom
ENSMUSG00000036721	ENSMUST00000053293	ENSMUSP00000058904	protein_coding	havana	Zscan12
ENSMUSG00000028218	ENSMUST00000108285	ENSMUSP00000103920	protein_coding	ensembl_havana	Fam92a
ENSMUSG00000053565	ENSMUST00000208616	ENSMUSP00000147214	protein_coding	havana	Eif3k
ENSMUSG00000053565	ENSMUST00000207762		retained_intron	havana	Eif3k
ENSMUSG00000031458	ENSMUST00000210249		retained_intron	havana	Coprs
ENSMUSG00000039826	ENSMUST00000156846	ENSMUSP00000135464	nonsense_mediated_decay	havana	Trub2
ENSMUSG00000050930	ENSMUST00000053078	ENSMUSP00000061679	protein_coding	ensembl_havana	Map10
ENSMUSG00000001305	ENSMUST00000001339	ENSMUSP00000001339	protein_coding	ensembl_havana	Rrp15
ENSMUSG00000001305	ENSMUST00000162336		retained_intron	havana	Rrp15
ENSMUSG00000021589	ENSMUST00000022078	ENSMUSP00000022078	protein_coding	ensembl_havana	Rhobtb3
ENSMUSG00000075543	ENSMUST00000100433	ENSMUSP00000098000	protein_coding	ensembl_havana	Urad
ENSMUSG00000036114	ENSMUST00000038434	ENSMUSP00000041477	protein_coding	ensembl_havana	Rpp25l
ENSMUSG00000013593	ENSMUST00000013737	ENSMUSP00000013737	protein_coding	ensembl_havana	Ndufs2
ENSMUSG00000013593	ENSMUST00000136976		retained_intron	havana	Ndufs2
ENSMUSG00000050335	ENSMUST00000142734	ENSMUSP00000118169	protein_coding	havana	Lgals3
ENSMUSG00000019139	ENSMUST00000210005	ENSMUSP00000148077	protein_coding	havana	Isyna1
ENSMUSG00000029163	ENSMUST00000031055	ENSMUSP00000031055	protein_coding	ensembl_havana	Emilin1
ENSMUSG00000047804	ENSMUST00000102650	ENSMUSP00000099710	protein_coding	ensembl_havana	Akap10
ENSMUSG00000037652	ENSMUST00000168645	ENSMUSP00000130142	protein_coding	ensembl_havana	Phc3
ENSMUSG00000035234	ENSMUST00000044535	ENSMUSP00000047692	nonsense_mediated_decay	havana	Abraxas1
ENSMUSG00000038683	ENSMUST00000046951	ENSMUSP00000040846	protein_coding	ensembl_havana	Pak1ip1
ENSMUSG00000018921	ENSMUST00000019065	ENSMUSP00000019065	protein_coding	ensembl_havana	Pelp1
ENSMUSG00000042032	ENSMUST00000101347	ENSMUSP00000098901	protein_coding	havana	Mat2b
ENSMUSG00000039224	ENSMUST00000045108	ENSMUSP00000035261	protein_coding	ensembl_havana	D1Pas1
ENSMUSG00000038822	ENSMUST00000037044	ENSMUSP00000039206	protein_coding	ensembl_havana	Hace1
ENSMUSG00000011096	ENSMUST00000152091		retained_intron	havana	Akt1s1
ENSMUSG00000011096	ENSMUST00000107880	ENSMUSP00000103512	protein_coding	ensembl_havana	Akt1s1
ENSMUSG00000011096	ENSMUST00000136232	ENSMUSP00000116541	protein_coding	havana	Akt1s1
ENSMUSG00000011096	ENSMUST00000207223	ENSMUSP00000146484	protein_coding	havana	Akt1s1
ENSMUSG00000034401	ENSMUST00000038868	ENSMUSP00000036964	protein_coding	ensembl_havana	Spata6
ENSMUSG00000042502	ENSMUST00000166791	ENSMUSP00000132963	protein_coding	ensembl_havana	Cd2bp2
ENSMUSG00000003929	ENSMUST00000054072	ENSMUSP00000050728	protein_coding	ensembl_havana	Zfp81
ENSMUSG00000041164	ENSMUST00000109786	ENSMUSP00000105409	protein_coding	havana	Zmiz2
ENSMUSG00000068551	ENSMUST00000114561	ENSMUSP00000110208	protein_coding	ensembl_havana	Zfp467
ENSMUSG00000034781	ENSMUST00000043604	ENSMUSP00000043190	protein_coding	ensembl_havana	Gna11
ENSMUSG00000015083	ENSMUST00000040042	ENSMUSP00000041855	protein_coding	ensembl_havana	C8g
ENSMUSG00000015083	ENSMUST00000150580		processed_transcript	havana	C8g
ENSMUSG00000047714	ENSMUST00000060188	ENSMUSP00000060118	protein_coding	ensembl_havana	Ppp1r2
